,"HDD storage, GB",Name,"Price per hour, NZD (ex GST)","RAM, GB","SSD storage, GB",vCPU
0,0.0,n1-standard-1,0.0674175,3.75,0.0,1.0
1,0.0,n1-standard-2,0.134835,7.5,0.0,2.0
2,0.0,n1-standard-4,0.26967,15.0,0.0,4.0
3,0.0,n1-standard-8,0.53934,30.0,0.0,8.0
4,0.0,n1-standard-16,1.07868,60.0,0.0,16.0
5,0.0,n1-standard-32,2.15736,120.0,0.0,32.0
6,0.0,n1-standard-64,4.31472,240.0,0.0,64.0
