,Name,vCPU,"RAM, GB","HDD storage, GB","SSD storage, GB","Catalyst price per hour, NZD (ex GST)","Google price per hour, NZD (ex GST)","AWS price per hour, NZD (ex GST)","Azure price per hour, NZD (ex GST)"
0,n1-standard-1,1.0,3.75,0.0,0.0,0.15164260432411167,0.06741749999999999,0.07308470380157805,0.11703400179428607
1,n1-standard-2,2.0,7.5,0.0,0.0,0.21707897270221505,0.13483499999999998,0.1589323919146477,0.1928219757842818
2,n1-standard-4,4.0,15.0,0.0,0.0,0.3479517094584218,0.26966999999999997,0.330627768140787,0.3443979237642733
3,n1-standard-8,8.0,30.0,0.0,0.0,0.6096971829708353,0.5393399999999999,0.6740185205930656,0.6475498197242563
4,n1-standard-16,16.0,60.0,0.0,0.0,1.1331881299956623,1.0786799999999999,1.3608000254976227,1.2538536116442223
5,n1-standard-32,32.0,120.0,0.0,0.0,2.1801700240453163,2.1573599999999997,2.734363035306737,2.466461195484154
6,n1-standard-64,64.0,240.0,0.0,0.0,4.274133812144624,4.3147199999999994,5.481489054924966,4.891676363164018
